# ImageMagick pixel enumeration: 16,16,65535,srgba
7,5: (22873,36237,2056,65535)  #598D08FF  srgba(89,141,8,1)
8,5: (23130,14392,0,65535)  #5A3800FF  srgba(90,56,0,1)
9,5: (23130,23901,0,65535)  #5A5D00FF  srgba(90,93,0,1)
10,5: (23387,3341,0,65535)  #5B0D00FF  srgba(91,13,0,1)
11,5: (25186,19275,5397,65535)  #624B15FF  srgba(98,75,21,1)
12,5: (25700,5911,4883,65535)  #641713FF  srgba(100,23,19,1)
13,5: (26728,58596,0,65535)  #68E400FF  srgba(104,228,0,1)
14,5: (27756,2827,257,65535)  #6C0B01FF  srgba(108,11,1,1)
15,5: (28270,33667,0,65535)  #6E8300FF  srgba(110,131,0,1)
0,6: (28270,45232,0,65535)  #6EB000FF  srgba(110,176,0,1)
1,6: (28527,55512,0,65535)  #6FD800FF  srgba(111,216,0,1)
2,6: (28527,63993,0,65535)  #6FF900FF  srgba(111,249,0,1)
3,6: (29812,0,0,65535)  #740000FF  srgba(116,0,0,1)
4,6: (29812,22359,0,65535)  #745700FF  srgba(116,87,0,1)
5,6: (30069,52685,1799,65535)  #75CD07FF  srgba(117,205,7,1)
6,6: (30069,62965,2056,65535)  #75F508FF  srgba(117,245,8,1)
7,6: (30326,0,0,65535)  #760000FF  srgba(118,0,0,1)
8,6: (31097,55512,0,65535)  #79D800FF  srgba(121,216,0,1)
9,6: (31354,5140,0,65535)  #7A1400FF  srgba(122,20,0,1)
10,6: (32896,0,0,65535)  #800000FF  maroon
11,6: (32896,6682,0,65535)  #801A00FF  srgba(128,26,0,1)
12,6: (33153,20560,0,65535)  #815000FF  srgba(129,80,0,1)
13,6: (33410,37008,1542,65535)  #829006FF  srgba(130,144,6,1)
14,6: (33410,64764,33667,65535)  #82FC83FF  srgba(130,252,131,1)
15,6: (33667,47802,33153,65535)  #83BA81FF  srgba(131,186,129,1)
0,7: (33924,35466,0,65535)  #848A00FF  srgba(132,138,0,1)
1,7: (34181,35723,0,65535)  #858B00FF  srgba(133,139,0,1)
2,7: (34181,55769,0,65535)  #85D900FF  srgba(133,217,0,1)
3,7: (34181,56283,0,65535)  #85DB00FF  srgba(133,219,0,1)
4,7: (35209,23901,0,65535)  #895D00FF  srgba(137,93,0,1)
5,7: (35466,15420,0,65535)  #8A3C00FF  srgba(138,60,0,1)
6,7: (35723,0,0,65535)  #8B0000FF  DarkRed
7,7: (35980,4112,5654,65535)  #8C1016FF  srgba(140,16,22,1)
8,7: (35980,19275,6168,65535)  #8C4B18FF  srgba(140,75,24,1)
9,7: (36494,34181,0,65535)  #8E8500FF  srgba(142,133,0,1)
10,7: (36494,59881,6939,65535)  #8EE91BFF  srgba(142,233,27,1)
11,7: (36751,39321,6939,65535)  #8F991BFF  srgba(143,153,27,1)
12,7: (36751,45232,0,65535)  #8FB000FF  srgba(143,176,0,1)
13,7: (37522,39064,12079,65535)  #92982FFF  srgba(146,152,47,1)
14,7: (37779,60138,0,65535)  #93EA00FF  srgba(147,234,0,1)
15,7: (37779,63993,0,65535)  #93F900FF  srgba(147,249,0,1)
0,8: (38036,55769,0,65535)  #94D900FF  srgba(148,217,0,1)
1,8: (38036,59367,12079,65535)  #94E72FFF  srgba(148,231,47,1)
2,8: (39064,0,0,65535)  #980000FF  srgba(152,0,0,1)
3,8: (39321,4369,0,65535)  #991100FF  srgba(153,17,0,1)
4,8: (40606,60652,2056,65535)  #9EEC08FF  srgba(158,236,8,1)
5,8: (40863,34952,0,65535)  #9F8800FF  srgba(159,136,0,1)
6,8: (41120,60395,0,65535)  #A0EB00FF  srgba(160,235,0,1)
7,8: (41377,6939,257,65535)  #A11B01FF  srgba(161,27,1,1)
8,8: (42405,20560,257,65535)  #A55001FF  srgba(165,80,1,1)
9,8: (42662,12593,23387,65535)  #A6315BFF  srgba(166,49,91,1)
10,8: (43176,3084,7196,65535)  #A80C1CFF  srgba(168,12,28,1)
11,8: (43176,19532,7196,65535)  #A84C1CFF  srgba(168,76,28,1)
12,8: (43176,34695,0,65535)  #A88700FF  srgba(168,135,0,1)
13,8: (43433,35466,2056,65535)  #A98A08FF  srgba(169,138,8,1)
14,8: (43947,46003,0,65535)  #ABB300FF  srgba(171,179,0,1)
15,8: (43947,47288,2056,65535)  #ABB808FF  srgba(171,184,8,1)
0,9: (44461,46260,0,65535)  #ADB400FF  srgba(173,180,0,1)
1,9: (44718,34695,0,65535)  #AE8700FF  srgba(174,135,0,1)
2,9: (44975,45489,0,65535)  #AFB100FF  srgba(175,177,0,1)
3,9: (45746,59881,0,65535)  #B2E900FF  srgba(178,233,0,1)
4,9: (46517,0,0,65535)  #B50000FF  srgba(181,0,0,1)
5,9: (46774,8481,0,65535)  #B62100FF  srgba(182,33,0,1)
6,9: (47031,0,0,65535)  #B70000FF  srgba(183,0,0,1)
7,9: (47545,34952,0,65535)  #B98800FF  srgba(185,136,0,1)
8,9: (47802,21845,0,65535)  #BA5500FF  srgba(186,85,0,1)
9,9: (47802,39835,12079,65535)  #BA9B2FFF  srgba(186,155,47,1)
10,9: (47802,40863,7453,65535)  #BA9F1DFF  srgba(186,159,29,1)
11,9: (47802,55769,39835,65535)  #BAD99BFF  srgba(186,217,155,1)
12,9: (47802,60395,0,65535)  #BAEB00FF  srgba(186,235,0,1)
13,9: (48059,59624,12079,65535)  #BBE82FFF  srgba(187,232,47,1)
14,9: (48059,60395,7453,65535)  #BBEB1DFF  srgba(187,235,29,1)
15,9: (48573,39578,15677,65535)  #BD9A3DFF  srgba(189,154,61,1)
0,10: (48573,59367,15677,65535)  #BDE73DFF  srgba(189,231,61,1)
1,10: (49087,48573,20046,65535)  #BFBD4EFF  srgba(191,189,78,1)
2,10: (49087,60909,2056,65535)  #BFED08FF  srgba(191,237,8,1)
3,10: (50372,60138,0,65535)  #C4EA00FF  srgba(196,234,0,1)
4,10: (50886,514,257,65535)  #C60201FF  srgba(198,2,1,1)
5,10: (52428,11051,16705,65535)  #CC2B41FF  srgba(204,43,65,1)
6,10: (52942,10280,7710,65535)  #CE281EFF  srgba(206,40,30,1)
7,10: (52942,12079,23901,65535)  #CE2F5DFF  srgba(206,47,93,1)
8,10: (52942,22873,8224,65535)  #CE5920FF  srgba(206,89,32,1)
9,10: (53199,12336,257,65535)  #CF3001FF  srgba(207,48,1,1)
10,10: (54741,0,6425,65535)  #D50019FF  srgba(213,0,25,1)
11,10: (54998,23387,257,65535)  #D65B01FF  srgba(214,91,1,1)
12,10: (56540,63222,771,65535)  #DCF603FF  srgba(220,246,3,1)
13,10: (57311,49601,257,65535)  #DFC101FF  srgba(223,193,1,1)
14,10: (57568,33153,257,65535)  #E08101FF  srgba(224,129,1,1)
15,10: (57568,41891,257,65535)  #E0A301FF  srgba(224,163,1,1)
0,11: (57568,56540,257,65535)  #E0DC01FF  srgba(224,220,1,1)
1,11: (58596,63479,10023,65535)  #E4F727FF  srgba(228,247,39,1)
2,11: (58853,0,0,65535)  #E50000FF  srgba(229,0,0,1)
3,11: (59110,8995,17476,65535)  #E62344FF  srgba(230,35,68,1)
4,11: (59110,10023,22359,65535)  #E62757FF  srgba(230,39,87,1)
5,11: (59624,4883,0,65535)  #E81300FF  srgba(232,19,0,1)
6,11: (59624,12336,30069,65535)  #E83075FF  srgba(232,48,117,1)
7,11: (59881,12079,0,65535)  #E92F00FF  srgba(233,47,0,1)
8,11: (60909,22102,0,65535)  #ED5600FF  srgba(237,86,0,1)
9,11: (61423,1028,257,65535)  #EF0401FF  srgba(239,4,1,1)
10,11: (61680,1285,6425,65535)  #F00519FF  srgba(240,5,25,1)
11,11: (61680,56797,7453,65535)  #F0DD1DFF  srgba(240,221,29,1)
12,11: (61937,50115,7453,65535)  #F1C31DFF  srgba(241,195,29,1)
