# ImageMagick pixel enumeration: 16,16,65535,srgba
6,5: (46517,50629,0,65535)  #B5C500FF  srgba(181,197,0,1)
7,5: (47288,38807,2056,65535)  #B89708FF  srgba(184,151,8,1)
8,5: (47288,48573,0,65535)  #B8BD00FF  srgba(184,189,0,1)
9,5: (47545,0,257,65535)  #B90001FF  srgba(185,0,1,1)
10,5: (47545,47031,0,65535)  #B9B700FF  srgba(185,183,0,1)
11,5: (47802,0,0,65535)  #BA0000FF  srgba(186,0,0,1)
12,5: (48316,37779,5140,65535)  #BC9314FF  srgba(188,147,20,1)
13,5: (48316,40863,0,65535)  #BC9F00FF  srgba(188,159,0,1)
14,5: (48573,24929,2570,65535)  #BD610AFF  srgba(189,97,10,1)
15,5: (48573,33667,0,65535)  #BD8300FF  srgba(189,131,0,1)
0,6: (48573,35209,0,65535)  #BD8900FF  srgba(189,137,0,1)
1,6: (48830,26471,0,65535)  #BE6700FF  srgba(190,103,0,1)
2,6: (49087,0,0,65535)  #BF0000FF  srgba(191,0,0,1)
3,6: (49601,49858,0,65535)  #C1C200FF  srgba(193,194,0,1)
4,6: (49601,51914,0,65535)  #C1CA00FF  srgba(193,202,0,1)
5,6: (49858,9766,0,65535)  #C22600FF  srgba(194,38,0,1)
6,6: (49858,25443,5911,65535)  #C26317FF  srgba(194,99,23,1)
7,6: (50115,7967,0,65535)  #C31F00FF  srgba(195,31,0,1)
8,6: (50115,12079,0,65535)  #C32F00FF  srgba(195,47,0,1)
9,6: (50372,514,0,65535)  #C40200FF  srgba(196,2,0,1)
10,6: (50372,11051,4112,65535)  #C42B10FF  srgba(196,43,16,1)
11,6: (50372,16191,0,65535)  #C43F00FF  srgba(196,63,0,1)
12,6: (50629,13878,1285,65535)  #C53605FF  srgba(197,54,5,1)
13,6: (50629,21588,0,65535)  #C55400FF  srgba(197,84,0,1)
14,6: (50629,24672,257,65535)  #C56001FF  srgba(197,96,1,1)
15,6: (50629,27499,0,65535)  #C56B00FF  srgba(197,107,0,1)
0,7: (50886,15934,0,65535)  #C63E00FF  srgba(198,62,0,1)
1,7: (50886,21331,0,65535)  #C65300FF  srgba(198,83,0,1)
2,7: (50886,21588,0,65535)  #C65400FF  srgba(198,84,0,1)
3,7: (50886,27756,0,65535)  #C66C00FF  srgba(198,108,0,1)
4,7: (51914,16191,3855,65535)  #CA3F0FFF  srgba(202,63,15,1)
5,7: (52171,0,0,65535)  #CB0000FF  srgba(203,0,0,1)
6,7: (52171,2056,1028,65535)  #CB0804FF  srgba(203,8,4,1)
7,7: (52428,2827,0,65535)  #CC0B00FF  srgba(204,11,0,1)
8,7: (52428,26728,0,65535)  #CC6800FF  srgba(204,104,0,1)
9,7: (52942,514,0,65535)  #CE0200FF  srgba(206,2,0,1)
10,7: (53199,0,0,65535)  #CF0000FF  srgba(207,0,0,1)
11,7: (53199,1285,0,65535)  #CF0500FF  srgba(207,5,0,1)
12,7: (53713,34438,0,65535)  #D18600FF  srgba(209,134,0,1)
13,7: (53713,46774,0,65535)  #D1B600FF  srgba(209,182,0,1)
14,7: (54998,34952,5911,65535)  #D68817FF  srgba(214,136,23,1)
15,7: (54998,50886,0,65535)  #D6C600FF  srgba(214,198,0,1)
0,8: (55255,42148,5140,65535)  #D7A414FF  srgba(215,164,20,1)
1,8: (55512,35980,771,65535)  #D88C03FF  srgba(216,140,3,1)
2,8: (55512,44461,514,65535)  #D8AD02FF  srgba(216,173,2,1)
3,8: (55512,47802,0,65535)  #D8BA00FF  srgba(216,186,0,1)
4,8: (55769,34695,0,65535)  #D98700FF  srgba(217,135,0,1)
5,8: (55769,35209,0,65535)  #D98900FF  srgba(217,137,0,1)
6,8: (55769,40606,0,65535)  #D99E00FF  srgba(217,158,0,1)
7,8: (56026,41120,0,65535)  #DAA000FF  srgba(218,160,0,1)
8,8: (56026,42405,0,65535)  #DAA500FF  srgba(218,165,0,1)
9,8: (56026,47031,0,65535)  #DAB700FF  srgba(218,183,0,1)
10,8: (56283,514,0,65535)  #DB0200FF  srgba(219,2,0,1)
11,8: (56540,22616,0,65535)  #DC5800FF  srgba(220,88,0,1)
12,8: (56797,0,0,65535)  #DD0000FF  srgba(221,0,0,1)
13,8: (56797,0,0,65535)  #DD0000FF  srgba(221,0,0,1)
14,8: (57054,0,0,65535)  #DE0000FF  srgba(222,0,0,1)
15,8: (57825,34695,0,65535)  #E18700FF  srgba(225,135,0,1)
0,9: (57825,47031,0,65535)  #E1B700FF  srgba(225,183,0,1)
1,9: (57825,51657,0,65535)  #E1C900FF  srgba(225,201,0,1)
2,9: (58082,16191,0,65535)  #E23F00FF  srgba(226,63,0,1)
3,9: (58082,23130,0,65535)  #E25A00FF  srgba(226,90,0,1)
4,9: (58339,15420,0,65535)  #E33C00FF  srgba(227,60,0,1)
5,9: (58596,28270,0,65535)  #E46E00FF  srgba(228,110,0,1)
6,9: (58596,29041,0,65535)  #E47100FF  srgba(228,113,0,1)
7,9: (58596,50115,0,65535)  #E4C300FF  srgba(228,195,0,1)
8,9: (58596,51657,0,65535)  #E4C900FF  srgba(228,201,0,1)
9,9: (58853,7967,0,65535)  #E51F00FF  srgba(229,31,0,1)
10,9: (58853,8995,0,65535)  #E52300FF  srgba(229,35,0,1)
11,9: (58853,9252,0,65535)  #E52400FF  srgba(229,36,0,1)
12,9: (58853,50115,0,65535)  #E5C300FF  srgba(229,195,0,1)
13,9: (59110,0,0,65535)  #E60000FF  srgba(230,0,0,1)
14,9: (59110,22102,0,65535)  #E65600FF  srgba(230,86,0,1)
15,9: (59110,28527,0,65535)  #E66F00FF  srgba(230,111,0,1)
0,10: (59367,16448,257,65535)  #E74001FF  srgba(231,64,1,1)
1,10: (59624,0,0,65535)  #E80000FF  srgba(232,0,0,1)
2,10: (59624,771,0,65535)  #E80300FF  srgba(232,3,0,1)
3,10: (60652,0,0,65535)  #EC0000FF  srgba(236,0,0,1)
4,10: (60652,50629,0,65535)  #ECC500FF  srgba(236,197,0,1)
5,10: (60909,0,0,65535)  #ED0000FF  srgba(237,0,0,1)
6,10: (60909,257,0,65535)  #ED0100FF  srgba(237,1,0,1)
7,10: (60909,22873,0,65535)  #ED5900FF  srgba(237,89,0,1)
8,10: (61423,0,0,65535)  #EF0000FF  srgba(239,0,0,1)
9,10: (61423,36751,0,65535)  #EF8F00FF  srgba(239,143,0,1)
10,10: (61680,1799,0,65535)  #F00700FF  srgba(240,7,0,1)
11,10: (61680,14135,3341,65535)  #F0370DFF  srgba(240,55,13,1)
12,10: (61680,14135,5911,65535)  #F03717FF  srgba(240,55,23,1)
