# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,19018,61423,65535)  #004AEFFF  srgba(0,74,239,1)
1,0: (0,21074,57568,65535)  #0052E0FF  srgba(0,82,224,1)
2,0: (0,22616,61937,65535)  #0058F1FF  srgba(0,88,241,1)
3,0: (0,26214,62451,65535)  #0066F3FF  srgba(0,102,243,1)
4,0: (0,30069,57825,65535)  #0075E1FF  srgba(0,117,225,1)
5,0: (0,30583,63736,65535)  #0077F8FF  srgba(0,119,248,1)
6,0: (0,30840,59881,65535)  #0078E9FF  srgba(0,120,233,1)
7,0: (0,33924,57825,65535)  #0084E1FF  srgba(0,132,225,1)
8,0: (0,34695,59881,65535)  #0087E9FF  srgba(0,135,233,1)
9,0: (0,34952,62451,65535)  #0088F3FF  srgba(0,136,243,1)
10,0: (0,35980,54741,65535)  #008CD5FF  srgba(0,140,213,1)
11,0: (0,37779,57568,65535)  #0093E0FF  srgba(0,147,224,1)
12,0: (0,38293,59881,65535)  #0095E9FF  srgba(0,149,233,1)
13,0: (0,38293,62451,65535)  #0095F3FF  srgba(0,149,243,1)
14,0: (0,40606,57568,65535)  #009EE0FF  srgba(0,158,224,1)
15,0: (0,42148,59881,65535)  #00A4E9FF  srgba(0,164,233,1)
0,1: (0,42405,62194,65535)  #00A5F2FF  srgba(0,165,242,1)
1,1: (0,42662,57568,65535)  #00A6E0FF  srgba(0,166,224,1)
2,1: (0,45232,61423,65535)  #00B0EFFF  srgba(0,176,239,1)
3,1: (0,47031,61680,65535)  #00B7F0FF  srgba(0,183,240,1)
4,1: (0,47802,57825,65535)  #00BAE1FF  srgba(0,186,225,1)
5,1: (0,48830,61423,65535)  #00BEEFFF  srgba(0,190,239,1)
6,1: (257,54227,60652,65535)  #01D3ECFF  srgba(1,211,236,1)
7,1: (514,30840,60395,65535)  #0278EBFF  srgba(2,120,235,1)
8,1: (514,38293,57825,65535)  #0295E1FF  srgba(2,149,225,1)
9,1: (514,39578,53970,65535)  #029AD2FF  srgba(2,154,210,1)
10,1: (514,41377,54227,65535)  #02A1D3FF  srgba(2,161,211,1)
11,1: (514,50372,53970,65535)  #02C4D2FF  srgba(2,196,210,1)
12,1: (771,19532,61680,65535)  #034CF0FF  srgba(3,76,240,1)
13,1: (771,20560,57825,65535)  #0350E1FF  srgba(3,80,225,1)
14,1: (771,33924,57825,65535)  #0384E1FF  srgba(3,132,225,1)
15,1: (771,34695,61423,65535)  #0387EFFF  srgba(3,135,239,1)
0,2: (771,40863,57568,65535)  #039FE0FF  srgba(3,159,224,1)
1,2: (771,43690,53713,65535)  #03AAD1FF  srgba(3,170,209,1)
2,2: (1028,28527,57825,65535)  #046FE1FF  srgba(4,111,225,1)
3,2: (1028,38550,59881,65535)  #0496E9FF  srgba(4,150,233,1)
4,2: (1028,43433,57825,65535)  #04A9E1FF  srgba(4,169,225,1)
5,2: (1028,50629,57568,65535)  #04C5E0FF  srgba(4,197,224,1)
6,2: (1028,58853,57825,65535)  #04E5E1FF  srgba(4,229,225,1)
7,2: (1285,30326,64507,65535)  #0576FBFF  srgba(5,118,251,1)
8,2: (1285,35209,50372,65535)  #0589C4FF  srgba(5,137,196,1)
9,2: (1285,38293,62708,65535)  #0595F4FF  srgba(5,149,244,1)
10,2: (1542,25186,62708,65535)  #0662F4FF  srgba(6,98,244,1)
11,2: (1799,22873,54227,65535)  #0759D3FF  srgba(7,89,211,1)
12,2: (1799,30840,54227,65535)  #0778D3FF  srgba(7,120,211,1)
13,2: (2056,42405,61937,65535)  #08A5F1FF  srgba(8,165,241,1)
14,2: (3084,35723,54227,65535)  #0C8BD3FF  srgba(12,139,211,1)
15,2: (3598,22616,50372,65535)  #0E58C4FF  srgba(14,88,196,1)
0,3: (3598,34952,46774,65535)  #0E88B6FF  srgba(14,136,182,1)
