# ImageMagick pixel enumeration: 16,16,65535,srgba
0,0: (0,0,7967,65535)  #00001FFF  srgba(0,0,31,1)
1,0: (0,0,10280,65535)  #000028FF  srgba(0,0,40,1)
2,0: (0,0,10794,65535)  #00002AFF  srgba(0,0,42,1)
3,0: (0,0,11822,65535)  #00002EFF  srgba(0,0,46,1)
4,0: (0,0,12079,65535)  #00002FFF  srgba(0,0,47,1)
5,0: (0,0,14392,65535)  #000038FF  srgba(0,0,56,1)
6,0: (0,0,17219,65535)  #000043FF  srgba(0,0,67,1)
7,0: (0,0,17219,65535)  #000043FF  srgba(0,0,67,1)
8,0: (0,0,17990,65535)  #000046FF  srgba(0,0,70,1)
9,0: (0,0,20046,65535)  #00004EFF  srgba(0,0,78,1)
10,0: (0,0,21074,65535)  #000052FF  srgba(0,0,82,1)
11,0: (0,0,22102,65535)  #000056FF  srgba(0,0,86,1)
12,0: (0,0,22616,65535)  #000058FF  srgba(0,0,88,1)
13,0: (0,0,23387,65535)  #00005BFF  srgba(0,0,91,1)
14,0: (0,0,26728,65535)  #000068FF  srgba(0,0,104,1)
15,0: (0,0,27756,65535)  #00006CFF  srgba(0,0,108,1)
0,1: (0,0,28013,65535)  #00006DFF  srgba(0,0,109,1)
1,1: (0,0,28527,65535)  #00006FFF  srgba(0,0,111,1)
2,1: (0,0,28527,65535)  #00006FFF  srgba(0,0,111,1)
3,1: (0,0,30069,65535)  #000075FF  srgba(0,0,117,1)
4,1: (0,0,32382,65535)  #00007EFF  srgba(0,0,126,1)
5,1: (0,0,32896,65535)  #000080FF  navy
6,1: (0,0,33153,65535)  #000081FF  srgba(0,0,129,1)
7,1: (0,0,33924,65535)  #000084FF  srgba(0,0,132,1)
8,1: (0,0,35466,65535)  #00008AFF  srgba(0,0,138,1)
9,1: (0,0,35723,65535)  #00008BFF  DarkBlue
10,1: (0,0,36237,65535)  #00008DFF  srgba(0,0,141,1)
11,1: (0,0,37265,65535)  #000091FF  srgba(0,0,145,1)
12,1: (0,0,37265,65535)  #000091FF  srgba(0,0,145,1)
13,1: (0,0,37522,65535)  #000092FF  srgba(0,0,146,1)
14,1: (0,0,39064,65535)  #000098FF  srgba(0,0,152,1)
15,1: (0,0,39064,65535)  #000098FF  srgba(0,0,152,1)
0,2: (0,0,41120,65535)  #0000A0FF  srgba(0,0,160,1)
1,2: (0,0,41377,65535)  #0000A1FF  srgba(0,0,161,1)
2,2: (0,0,42662,65535)  #0000A6FF  srgba(0,0,166,1)
3,2: (0,0,42919,65535)  #0000A7FF  srgba(0,0,167,1)
4,2: (0,0,43433,65535)  #0000A9FF  srgba(0,0,169,1)
5,2: (0,0,43690,65535)  #0000AAFF  srgba(0,0,170,1)
6,2: (0,0,44204,65535)  #0000ACFF  srgba(0,0,172,1)
7,2: (0,0,44718,65535)  #0000AEFF  srgba(0,0,174,1)
8,2: (0,0,44975,65535)  #0000AFFF  srgba(0,0,175,1)
9,2: (0,0,45489,65535)  #0000B1FF  srgba(0,0,177,1)
10,2: (0,257,5397,65535)  #000115FF  srgba(0,1,21,1)
11,2: (0,257,17990,65535)  #000146FF  srgba(0,1,70,1)
12,2: (0,257,43433,65535)  #0001A9FF  srgba(0,1,169,1)
13,2: (0,514,0,65535)  #000200FF  srgba(0,2,0,1)
14,2: (0,514,1285,65535)  #000205FF  srgba(0,2,5,1)
15,2: (0,514,19275,65535)  #00024BFF  srgba(0,2,75,1)
0,3: (0,1028,2827,65535)  #00040BFF  srgba(0,4,11,1)
1,3: (0,1028,25186,65535)  #000462FF  srgba(0,4,98,1)
2,3: (0,1799,42919,65535)  #0007A7FF  srgba(0,7,167,1)
3,3: (0,2827,6168,65535)  #000B18FF  srgba(0,11,24,1)
4,3: (0,3084,0,65535)  #000C00FF  srgba(0,12,0,1)
5,3: (0,3855,0,65535)  #000F00FF  srgba(0,15,0,1)
6,3: (0,4112,1799,65535)  #001007FF  srgba(0,16,7,1)
7,3: (0,5397,14649,65535)  #001539FF  srgba(0,21,57,1)
8,3: (0,5911,2570,65535)  #00170AFF  srgba(0,23,10,1)
9,3: (0,6168,1285,65535)  #001805FF  srgba(0,24,5,1)
10,3: (0,6682,7453,65535)  #001A1DFF  srgba(0,26,29,1)
11,3: (0,7710,1028,65535)  #001E04FF  srgba(0,30,4,1)
12,3: (0,7710,6939,65535)  #001E1BFF  srgba(0,30,27,1)
13,3: (0,7967,0,65535)  #001F00FF  srgba(0,31,0,1)
14,3: (0,8738,0,65535)  #002200FF  srgba(0,34,0,1)
15,3: (0,8738,257,65535)  #002201FF  srgba(0,34,1,1)
0,4: (0,8738,1028,65535)  #002204FF  srgba(0,34,4,1)
1,4: (0,9766,771,65535)  #002603FF  srgba(0,38,3,1)
2,4: (0,10023,0,65535)  #002700FF  srgba(0,39,0,1)
3,4: (0,10537,0,65535)  #002900FF  srgba(0,41,0,1)
4,4: (0,10794,0,65535)  #002A00FF  srgba(0,42,0,1)
5,4: (0,11051,0,65535)  #002B00FF  srgba(0,43,0,1)
6,4: (0,11051,514,65535)  #002B02FF  srgba(0,43,2,1)
7,4: (0,11308,0,65535)  #002C00FF  srgba(0,44,0,1)
8,4: (0,11308,1028,65535)  #002C04FF  srgba(0,44,4,1)
9,4: (0,11308,7196,65535)  #002C1CFF  srgba(0,44,28,1)
10,4: (0,11822,20046,65535)  #002E4EFF  srgba(0,46,78,1)
11,4: (0,12079,17990,65535)  #002F46FF  srgba(0,47,70,1)
12,4: (0,12336,27242,65535)  #00306AFF  srgba(0,48,106,1)
13,4: (0,12850,514,65535)  #003202FF  srgba(0,50,2,1)
14,4: (0,13107,1028,65535)  #003304FF  srgba(0,51,4,1)
15,4: (0,14135,22616,65535)  #003758FF  srgba(0,55,88,1)
0,5: (0,14392,3855,65535)  #00380FFF  srgba(0,56,15,1)
1,5: (0,14392,15934,65535)  #00383EFF  srgba(0,56,62,1)
2,5: (0,14906,11051,65535)  #003A2BFF  srgba(0,58,43,1)
3,5: (0,15163,7453,65535)  #003B1DFF  srgba(0,59,29,1)
4,5: (0,16191,7710,65535)  #003F1EFF  srgba(0,63,30,1)
5,5: (0,16962,24672,65535)  #004260FF  srgba(0,66,96,1)
6,5: (0,17476,8224,65535)  #004420FF  srgba(0,68,32,1)
7,5: (0,17476,23644,65535)  #00445CFF  srgba(0,68,92,1)
8,5: (0,18761,17476,65535)  #004944FF  srgba(0,73,68,1)
9,5: (0,19018,10023,65535)  #004A27FF  srgba(0,74,39,1)
10,5: (0,20046,9766,65535)  #004E26FF  srgba(0,78,38,1)
11,5: (0,20560,14135,65535)  #005037FF  srgba(0,80,55,1)
12,5: (0,22359,13364,65535)  #005734FF  srgba(0,87,52,1)
13,5: (0,22873,20046,65535)  #00594EFF  srgba(0,89,78,1)
14,5: (0,23130,16705,65535)  #005A41FF  srgba(0,90,65,1)
15,5: (0,23130,22873,65535)  #005A59FF  srgba(0,90,89,1)
0,6: (0,23387,12593,65535)  #005B31FF  srgba(0,91,49,1)
1,6: (0,24158,13621,65535)  #005E35FF  srgba(0,94,53,1)
2,6: (0,24415,17476,65535)  #005F44FF  srgba(0,95,68,1)
3,6: (0,25186,25443,65535)  #006263FF  srgba(0,98,99,1)
4,6: (0,25700,17476,65535)  #006444FF  srgba(0,100,68,1)
5,6: (0,25700,18504,65535)  #006448FF  srgba(0,100,72,1)
6,6: (0,26214,22102,65535)  #006656FF  srgba(0,102,86,1)
7,6: (0,26985,22359,65535)  #006957FF  srgba(0,105,87,1)
8,6: (0,27242,20817,65535)  #006A51FF  srgba(0,106,81,1)
9,6: (0,28013,23130,65535)  #006D5AFF  srgba(0,109,90,1)
10,6: (0,28784,23130,65535)  #00705AFF  srgba(0,112,90,1)
11,6: (0,30069,22359,65535)  #007557FF  srgba(0,117,87,1)
12,6: (0,30069,25186,65535)  #007562FF  srgba(0,117,98,1)
13,6: (0,30840,24415,65535)  #00785FFF  srgba(0,120,95,1)
14,6: (257,0,6682,65535)  #01001AFF  srgba(1,0,26,1)
15,6: (257,0,12336,65535)  #010030FF  srgba(1,0,48,1)
0,7: (257,0,24672,65535)  #010060FF  srgba(1,0,96,1)
1,7: (257,0,31611,65535)  #01007BFF  srgba(1,0,123,1)
2,7: (257,0,34438,65535)  #010086FF  srgba(1,0,134,1)
3,7: (257,0,40349,65535)  #01009DFF  srgba(1,0,157,1)
