# ImageMagick pixel enumeration: 16,16,65535,srgba
4,5: (25443,22359,19018,65535)  #63574AFF  srgba(99,87,74,1)
5,5: (25700,17990,6168,65535)  #644618FF  srgba(100,70,24,1)
6,5: (25957,14649,2313,65535)  #653909FF  srgba(101,57,9,1)
7,5: (25957,15420,3341,65535)  #653C0DFF  srgba(101,60,13,1)
8,5: (25957,25700,25700,65535)  #656464FF  srgba(101,100,100,1)
9,5: (26214,11565,0,65535)  #662D00FF  srgba(102,45,0,1)
10,5: (26214,13621,2313,65535)  #663509FF  srgba(102,53,9,1)
11,5: (26214,17476,10537,65535)  #664429FF  srgba(102,68,41,1)
12,5: (26471,13364,257,65535)  #673401FF  srgba(103,52,1,1)
13,5: (26471,20560,12850,65535)  #675032FF  srgba(103,80,50,1)
14,5: (26471,21074,20560,65535)  #675250FF  srgba(103,82,80,1)
15,5: (26728,26471,26471,65535)  #686767FF  srgba(104,103,103,1)
0,6: (26985,14649,1285,65535)  #693905FF  srgba(105,57,5,1)
1,6: (27242,15163,1799,65535)  #6A3B07FF  srgba(106,59,7,1)
2,6: (27242,24415,19275,65535)  #6A5F4BFF  srgba(106,95,75,1)
3,6: (27499,14649,1285,65535)  #6B3905FF  srgba(107,57,5,1)
4,6: (27499,15934,2827,65535)  #6B3E0BFF  srgba(107,62,11,1)
5,6: (27499,17990,5654,65535)  #6B4616FF  srgba(107,70,22,1)
6,6: (27499,22873,13878,65535)  #6B5936FF  srgba(107,89,54,1)
7,6: (27499,27499,27499,65535)  #6B6B6BFF  grey42
8,6: (27756,13364,0,65535)  #6C3400FF  srgba(108,52,0,1)
9,6: (28527,15163,1285,65535)  #6F3B05FF  srgba(111,59,5,1)
10,6: (28527,28270,28270,65535)  #6F6E6EFF  srgba(111,110,110,1)
11,6: (28784,16191,2313,65535)  #703F09FF  srgba(112,63,9,1)
12,6: (28784,17990,3341,65535)  #70460DFF  srgba(112,70,13,1)
13,6: (28784,19018,7453,65535)  #704A1DFF  srgba(112,74,29,1)
14,6: (29041,16705,3084,65535)  #71410CFF  srgba(113,65,12,1)
15,6: (29298,29041,29298,65535)  #727172FF  srgba(114,113,114,1)
0,7: (29812,20560,15163,65535)  #74503BFF  srgba(116,80,59,1)
1,7: (29812,29812,29812,65535)  #747474FF  srgba(116,116,116,1)
2,7: (30069,16448,2827,65535)  #75400BFF  srgba(117,64,11,1)
3,7: (30069,20560,10794,65535)  #75502AFF  srgba(117,80,42,1)
4,7: (30583,15934,771,65535)  #773E03FF  srgba(119,62,3,1)
5,7: (30583,17219,2056,65535)  #774308FF  srgba(119,67,8,1)
6,7: (30583,17219,3598,65535)  #77430EFF  srgba(119,67,14,1)
7,7: (30840,18504,6168,65535)  #784818FF  srgba(120,72,24,1)
8,7: (30840,20560,7196,65535)  #78501CFF  srgba(120,80,28,1)
9,7: (30840,23387,12850,65535)  #785B32FF  srgba(120,91,50,1)
10,7: (31097,18247,3341,65535)  #79470DFF  srgba(121,71,13,1)
11,7: (31354,31097,31354,65535)  #7A797AFF  srgba(122,121,122,1)
12,7: (32382,16705,514,65535)  #7E4102FF  srgba(126,65,2,1)
13,7: (32382,18247,4369,65535)  #7E4711FF  srgba(126,71,17,1)
14,7: (32382,32125,32382,65535)  #7E7D7EFF  srgba(126,125,126,1)
15,7: (32639,17990,2827,65535)  #7F460BFF  srgba(127,70,11,1)
0,8: (33153,18247,1542,65535)  #814706FF  srgba(129,71,6,1)
1,8: (33153,19275,4369,65535)  #814B11FF  srgba(129,75,17,1)
2,8: (33153,20046,6168,65535)  #814E18FF  srgba(129,78,24,1)
3,8: (33153,32896,33153,65535)  #818081FF  srgba(129,128,129,1)
4,8: (33410,19018,3084,65535)  #824A0CFF  srgba(130,74,12,1)
5,8: (33667,29041,25700,65535)  #837164FF  srgba(131,113,100,1)
6,8: (33924,21074,10537,65535)  #845229FF  srgba(132,82,41,1)
7,8: (33924,23644,18504,65535)  #845C48FF  srgba(132,92,72,1)
8,8: (33924,33924,33667,65535)  #848483FF  srgba(132,132,131,1)
9,8: (34438,23644,15163,65535)  #865C3BFF  srgba(134,92,59,1)
10,8: (34695,23644,13364,65535)  #875C34FF  srgba(135,92,52,1)
11,8: (34695,34695,34695,65535)  #878787FF  grey53
12,8: (34952,19018,2056,65535)  #884A08FF  srgba(136,74,8,1)
13,8: (34952,20303,4626,65535)  #884F12FF  srgba(136,79,18,1)
14,8: (35209,23130,10537,65535)  #895A29FF  srgba(137,90,41,1)
15,8: (35466,20303,2827,65535)  #8A4F0BFF  srgba(138,79,11,1)
0,9: (35466,35209,35466,65535)  #8A898AFF  srgba(138,137,138,1)
1,9: (35723,21845,6168,65535)  #8B5518FF  srgba(139,85,24,1)
2,9: (35723,24929,11051,65535)  #8B612BFF  srgba(139,97,43,1)
3,9: (35980,23387,7196,65535)  #8C5B1CFF  srgba(140,91,28,1)
4,9: (36237,20560,4369,65535)  #8D5011FF  srgba(141,80,17,1)
5,9: (36494,35466,34695,65535)  #8E8A87FF  srgba(142,138,135,1)
6,9: (36494,35723,35466,65535)  #8E8B8AFF  srgba(142,139,138,1)
7,9: (36494,36494,36237,65535)  #8E8E8DFF  srgba(142,142,141,1)
8,9: (37008,21588,3855,65535)  #90540FFF  srgba(144,84,15,1)
9,9: (37008,27499,16962,65535)  #906B42FF  srgba(144,107,66,1)
10,9: (37008,28270,18761,65535)  #906E49FF  srgba(144,110,73,1)
11,9: (37008,36751,37008,65535)  #908F90FF  srgba(144,143,144,1)
12,9: (37265,19789,1799,65535)  #914D07FF  srgba(145,77,7,1)
13,9: (37265,22102,4112,65535)  #915610FF  srgba(145,86,16,1)
14,9: (37522,20817,2313,65535)  #925109FF  srgba(146,81,9,1)
15,9: (37779,20560,2056,65535)  #935008FF  srgba(147,80,8,1)
0,10: (37779,22102,5911,65535)  #935617FF  srgba(147,86,23,1)
1,10: (37779,26985,13878,65535)  #936936FF  srgba(147,105,54,1)
2,10: (38036,38036,38036,65535)  #949494FF  grey58
3,10: (38293,23387,6425,65535)  #955B19FF  srgba(149,91,25,1)
4,10: (39064,21845,3084,65535)  #98550CFF  srgba(152,85,12,1)
5,10: (39064,22873,4112,65535)  #985910FF  srgba(152,89,16,1)
6,10: (39064,25957,11051,65535)  #98652BFF  srgba(152,101,43,1)
7,10: (39064,38807,39064,65535)  #989798FF  srgba(152,151,152,1)
8,10: (39321,23901,6168,65535)  #995D18FF  srgba(153,93,24,1)
9,10: (39321,35209,28784,65535)  #998970FF  srgba(153,137,112,1)
10,10: (39578,39321,39835,65535)  #9A999BFF  srgba(154,153,155,1)
11,10: (40092,21074,1285,65535)  #9C5205FF  srgba(156,82,5,1)
12,10: (40092,40092,40349,65535)  #9C9C9DFF  srgba(156,156,157,1)
13,10: (40606,40606,40606,65535)  #9E9E9EFF  grey62
14,10: (40863,23387,5397,65535)  #9F5B15FF  srgba(159,91,21,1)
15,10: (41120,23130,3598,65535)  #A05A0EFF  srgba(160,90,14,1)
0,11: (41120,24415,6425,65535)  #A05F19FF  srgba(160,95,25,1)
1,11: (41120,40863,41377,65535)  #A09FA1FF  srgba(160,159,161,1)
2,11: (41377,22616,1028,65535)  #A15804FF  srgba(161,88,4,1)
3,11: (41377,24158,4369,65535)  #A15E11FF  srgba(161,94,17,1)
4,11: (41634,22873,2313,65535)  #A25909FF  srgba(162,89,9,1)
5,11: (41634,24672,4626,65535)  #A26012FF  srgba(162,96,18,1)
6,11: (41891,25957,7196,65535)  #A3651CFF  srgba(163,101,28,1)
7,11: (42148,25957,10280,65535)  #A46528FF  srgba(164,101,40,1)
8,11: (42148,41891,42405,65535)  #A4A3A5FF  srgba(164,163,165,1)
9,11: (42405,27756,13107,65535)  #A56C33FF  srgba(165,108,51,1)
10,11: (43176,23387,1799,65535)  #A85B07FF  srgba(168,91,7,1)
11,11: (43176,27499,10280,65535)  #A86B28FF  srgba(168,107,40,1)
12,11: (43176,29812,15163,65535)  #A8743BFF  srgba(168,116,59,1)
13,11: (43176,30069,16448,65535)  #A87540FF  srgba(168,117,64,1)
14,11: (43433,25443,5911,65535)  #A96317FF  srgba(169,99,23,1)
15,11: (43433,28527,10537,65535)  #A96F29FF  srgba(169,111,41,1)
0,12: (43947,43690,44204,65535)  #ABAAACFF  srgba(171,170,172,1)
1,12: (44204,31611,19275,65535)  #AC7B4BFF  srgba(172,123,75,1)
2,12: (44718,25443,2827,65535)  #AE630BFF  srgba(174,99,11,1)
3,12: (44718,25443,5654,65535)  #AE6316FF  srgba(174,99,22,1)
4,12: (44718,27242,7453,65535)  #AE6A1DFF  srgba(174,106,29,1)
5,12: (44718,30326,13364,65535)  #AE7634FF  srgba(174,118,52,1)
6,12: (44975,22616,514,65535)  #AF5802FF  srgba(175,88,2,1)
7,12: (44975,31097,17733,65535)  #AF7945FF  srgba(175,121,69,1)
8,12: (45232,23901,1285,65535)  #B05D05FF  srgba(176,93,5,1)
9,12: (45489,26471,6168,65535)  #B16718FF  srgba(177,103,24,1)
10,12: (45489,29041,10280,65535)  #B17128FF  srgba(177,113,40,1)
11,12: (46003,26985,4626,65535)  #B36912FF  srgba(179,105,18,1)
12,12: (46517,27242,6939,65535)  #B56A1BFF  srgba(181,106,27,1)
13,12: (46774,28270,7453,65535)  #B66E1DFF  srgba(182,110,29,1)
14,12: (46774,46260,46774,65535)  #B6B4B6FF  srgba(182,180,182,1)
15,12: (47031,28013,4883,65535)  #B76D13FF  srgba(183,109,19,1)
0,13: (47545,25700,1542,65535)  #B96406FF  srgba(185,100,6,1)
1,13: (47545,29298,7453,65535)  #B9721DFF  srgba(185,114,29,1)
2,13: (47802,30069,10537,65535)  #BA7529FF  srgba(186,117,41,1)
3,13: (48059,31354,13107,65535)  #BB7A33FF  srgba(187,122,51,1)
4,13: (48316,27242,3598,65535)  #BC6A0EFF  srgba(188,106,14,1)
5,13: (48316,32125,16448,65535)  #BC7D40FF  srgba(188,125,64,1)
6,13: (48573,28013,4112,65535)  #BD6D10FF  srgba(189,109,16,1)
7,13: (48573,32125,15163,65535)  #BD7D3BFF  srgba(189,125,59,1)
8,13: (49087,48573,49344,65535)  #BFBDC0FF  srgba(191,189,192,1)
9,13: (49344,34181,14906,65535)  #C0853AFF  srgba(192,133,58,1)
